q2 Fs Ff Fg Fm Fp Fzt Fmt Fpt
6.62616 -0.653088 5.4947 0.151717 0.139777 -0.10643 -0.00543677 0.580371 -0.973705
6.73284 -0.657527 5.51421 0.152693 0.140626 -0.106998 -0.00548761 0.584152 -0.980031
6.83952 -0.662005 5.53382 0.153678 0.141482 -0.10757 -0.00553903 0.587967 -0.986411
6.9462 -0.666523 5.55352 0.154671 0.142345 -0.108146 -0.00559103 0.591814 -0.992846
7.05288 -0.671081 5.57332 0.155672 0.143214 -0.108725 -0.00564363 0.595694 -0.999336
7.15956 -0.675678 5.59322 0.156683 0.144091 -0.109308 -0.00569682 0.599607 -1.00588
7.26624 -0.680316 5.61321 0.157701 0.144974 -0.109895 -0.00575062 0.603554 -1.01248
7.37292 -0.684994 5.6333 0.158728 0.145865 -0.110486 -0.00580503 0.607534 -1.01914
7.4796 -0.689713 5.65348 0.159764 0.146762 -0.111081 -0.00586006 0.611549 -1.02585
7.58628 -0.694473 5.67375 0.160809 0.147667 -0.111679 -0.00591571 0.615597 -1.03262
7.69296 -0.699274 5.69412 0.161862 0.148578 -0.112282 -0.005972 0.61968 -1.03945
7.79964 -0.704117 5.71457 0.162925 0.149497 -0.112888 -0.00602892 0.623797 -1.04634
7.90632 -0.709002 5.73512 0.163996 0.150423 -0.113498 -0.00608649 0.627948 -1.05328
8.013 -0.713929 5.75575 0.165076 0.151355 -0.114111 -0.00614471 0.632135 -1.06028
8.11968 -0.718898 5.77647 0.166165 0.152296 -0.114729 -0.00620359 0.636356 -1.06734
8.22636 -0.72391 5.79728 0.167263 0.153243 -0.11535 -0.00626314 0.640613 -1.07446
8.33304 -0.728965 5.81817 0.16837 0.154197 -0.115975 -0.00632337 0.644906 -1.08164
8.43972 -0.734063 5.83915 0.169486 0.155159 -0.116604 -0.00638428 0.649234 -1.08888
8.5464 -0.739204 5.86022 0.170612 0.156129 -0.117237 -0.00644588 0.653598 -1.09617
8.65308 -0.744389 5.88136 0.171746 0.157105 -0.117873 -0.00650817 0.657998 -1.10353
8.75976 -0.749619 5.90259 0.17289 0.158089 -0.118513 -0.00657117 0.662435 -1.11095
8.86644 -0.754893 5.9239 0.174044 0.15908 -0.119157 -0.00663489 0.666908 -1.11843
8.97312 -0.760211 5.94529 0.175206 0.160079 -0.119805 -0.00669933 0.671419 -1.12597
9.0798 -0.765575 5.96676 0.176379 0.161085 -0.120457 -0.00676449 0.675966 -1.13357
9.18648 -0.770983 5.98831 0.17756 0.162099 -0.121112 -0.0068304 0.68055 -1.14124
9.29316 -0.776438 6.00993 0.178752 0.163121 -0.121771 -0.00689705 0.685172 -1.14896
9.39984 -0.781938 6.03163 0.179953 0.164149 -0.122434 -0.00696446 0.689832 -1.15675
9.50652 -0.787484 6.05341 0.181163 0.165186 -0.123101 -0.00703263 0.69453 -1.16461
9.6132 -0.793077 6.07526 0.182384 0.16623 -0.123771 -0.00710157 0.699266 -1.17252
9.71988 -0.798717 6.09718 0.183614 0.167282 -0.124445 -0.00717129 0.704041 -1.18051
9.82656 -0.804403 6.11918 0.184854 0.168342 -0.125123 -0.0072418 0.708854 -1.18855
9.93324 -0.810138 6.14124 0.186104 0.169409 -0.125804 -0.00731311 0.713706 -1.19666
10.0399 -0.815919 6.16338 0.187364 0.170484 -0.126489 -0.00738523 0.718598 -1.20484
10.1466 -0.821749 6.18558 0.188635 0.171567 -0.127178 -0.00745817 0.723529 -1.21308
10.2533 -0.827628 6.20785 0.189915 0.172658 -0.127871 -0.00753193 0.728499 -1.22139
10.36 -0.833555 6.23019 0.191205 0.173756 -0.128567 -0.00760653 0.73351 -1.22976
10.4666 -0.839531 6.25259 0.192506 0.174863 -0.129267 -0.00768197 0.738561 -1.2382
10.5733 -0.845556 6.27505 0.193817 0.175977 -0.12997 -0.00775827 0.743652 -1.24671
