BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00204964
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.380758
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
4.38899 0.0345769 0.268051 4.65381 15.4489 0.745828 0.0812806 0.0900029 0.115594 1.26301 0.0307657 0.00152426 0.25143 
4.49576 0.0340294 0.269204 4.66324 15.4879 0.751686 0.0810369 0.0897304 0.115273 1.26116 0.0307718 0.00152538 0.251062 
4.60254 0.0334807 0.270361 4.67297 15.5277 0.757597 0.080793 0.0894577 0.114952 1.25931 0.0307778 0.0015265 0.250693 
4.70932 0.0329308 0.271522 4.683 15.5682 0.763563 0.080549 0.0891848 0.114631 1.25746 0.0307839 0.00152762 0.250325 
4.81609 0.0323796 0.272686 4.69335 15.6093 0.769583 0.0803048 0.0889116 0.11431 1.2556 0.03079 0.00152875 0.249955 
4.92287 0.0318272 0.273853 4.70401 15.6512 0.775659 0.0800605 0.0886383 0.113988 1.25374 0.030796 0.00152987 0.249586 
5.02964 0.0312735 0.275024 4.71499 15.6939 0.78179 0.079816 0.0883647 0.113666 1.25188 0.0308021 0.001531 0.249216 
5.13642 0.0307186 0.276199 4.7263 15.7373 0.787978 0.0795714 0.088091 0.113343 1.25002 0.0308081 0.00153213 0.248845 
5.2432 0.0301625 0.277377 4.73793 15.7814 0.794224 0.0793267 0.087817 0.11302 1.24816 0.0308142 0.00153326 0.248474 
5.34997 0.029605 0.278559 4.7499 15.8263 0.800527 0.0790818 0.0875428 0.112697 1.2463 0.0308202 0.00153439 0.248103 
5.45675 0.0290464 0.279744 4.7622 15.872 0.806889 0.0788368 0.0872684 0.112373 1.24443 0.0308262 0.00153553 0.247732 
5.56352 0.0284864 0.280933 4.77485 15.9184 0.813311 0.0785916 0.0869938 0.112049 1.24256 0.0308322 0.00153667 0.24736 
5.6703 0.0279252 0.282125 4.78784 15.9657 0.819793 0.0783463 0.086719 0.111725 1.24069 0.0308382 0.0015378 0.246987 
5.77708 0.0273627 0.28332 4.80119 16.0137 0.826335 0.0781008 0.0864439 0.1114 1.23882 0.0308442 0.00153894 0.246614 
